oui,manufacturer,registry,short_name,device_type,address,sources
6C:61:26,"Rinicom Holdings",MA-L,,,"Riverway House Lancaster Lancashire GB LA1 2RX",IEEE+Nmap
C0:4D:F7,"SERELEC",MA-L,,,"2, Chemin du Génie VENISSIEUX CEDEX  FR 69633 ",IEEE+Nmap
EC:D0:40,"GEA Farm Technologies GmbH",MA-L,,,"Siemensstrasse 25-27 Boenen Northrhine-Westfalia DE 59199",IEEE+Nmap
00:59:07,"LenovoEMC Products USA, LLC",MA-L,,,"22 South St Hopinkton MA US 01748",IEEE+Nmap
78:B3:CE,"Elo touch solutions",MA-L,,,"1033 McCarthy Boulevard Milpitas CA US 95035",IEEE+Nmap
A8:FB:70,"WiseSec L.t.d",MA-L,,,"145 yaffo ST. Haifa Israel IL 37503",IEEE+Nmap
30:F3:1D,"zte corporation",MA-L,,,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 ",IEEE+Nmap
E4:77:6B,"AARTESYS AG",MA-L,,,"Bahnhofplatz 7 Biel Bern CH CH-2501",IEEE+Nmap
5C:33:5C,"Swissphone Telecom AG",MA-L,,,"Faelmisstrasse 21 Samstagern Zurich CH CH-8833",IEEE+Nmap
A4:FC:CE,"Security Expert Ltd.",MA-L,,,"75, Ekaterininskaya Street, of. 105 Perm Perm region RU 614000 ",IEEE+Nmap
E0:CE:C3,"ASKEY COMPUTER CORP",MA-L,,,"10F,No.119,JIANKANG RD,ZHONGHE DIST NEW TAIPEI TAIWAN TW 23585 ",IEEE+Nmap
5C:43:D2,"HAZEMEYER",MA-L,,,"ZI Route de Grugies GAUCHY FRANCE FR 02430",IEEE+Nmap
D8:19:CE,"Telesquare",MA-L,,,"670, Sampyeong-dong, Bundang-gu Seongnam-si Gyeonggi-do KR 463-400 ",IEEE+Nmap
D8:09:C3,"Cercacor Labs",MA-L,,,"189 Technology Dr Irvine CA US 92618",IEEE+Nmap
84:ED:33,"BBMC Co.,Ltd",MA-L,,,"#301, DaerungPostTower 3, 182-4, Seoul None KR 152-746 ",IEEE+Nmap
68:1E:8B,"InfoSight Corporation",MA-L,,,"20700 US Hwy 23 Chillicothe Ohio US 45601",IEEE+Nmap
C0:44:E3,"Shenzhen Sinkna Electronics Co., LTD",MA-L,,,"9 Building, XinXin Tian Industry Area, Shenzhen Guangdong CN 5180000 ",IEEE+Nmap
08:F1:B7,"Towerstream Corpration",MA-L,,,"55 Hammerlund Way Middletown RI US 02842",IEEE+Nmap
20:85:8C,"Assa",MA-L,,,"Gurogu Guro3dong Ace Twintower 2cha 209  Seoul KR 152-779",IEEE+Nmap
18:7A:93,"AMICCOM Electronics Corporation",MA-L,,,"Room A3, 1F., No.1, Lixing 1st Rd Hsinchu  TW 30078 ",IEEE+Nmap
94:C9:62,"Teseq AG",MA-L,,,"Nordstrasse 11F Luterbach Solothurn CH 4542",IEEE+Nmap
38:43:69,"Patrol Products Consortium LLC",MA-L,,,"1128 Narragansett Blvd. Cranston RI US 02905",IEEE+Nmap
D0:8B:7E,"Passif Semiconductor",MA-L,,,"400 S. El Camino Real Suite 250 San Mateo California US 94402",IEEE+Nmap
68:86:E7,"Orbotix, Inc.",MA-L,,,"1155 Canyon Blvd. Boulder CO US 80302",IEEE+Nmap
2C:E8:71,"Alert Metalguard ApS",MA-L,,,"Vester Voldgade 104, st, th Copenhagen V  DK 1552 ",IEEE+Nmap
58:D0:71,"BW Broadcast",MA-L,,,"Unit 27 IO Centre Croydon Surrey GB CR0 4WQ",IEEE+Nmap
C0:A0:C7,"FAIRFIELD INDUSTRIES",MA-L,,,"1111 GILLINGHAM LANE SUGAR LAND TEXAS US 77478",IEEE+Nmap
98:20:8E,"Definium Technologies",MA-L,,,"34 Fairthorne Road Launceston Tasmania AU 7250",IEEE+Nmap
70:4A:E4,"Rinstrum Pty Ltd",MA-L,,,"41 Success St Acacia Ridge QLD AU 4110",IEEE+Nmap
68:B8:D9,"Act KDE, Inc.",MA-L,,,"196-14, Bangi-dong, Songpa-gu Seoul  KR 138-834 ",IEEE+Nmap
F8:48:97,"Hitachi, Ltd.",MA-L,,,"27-18, Minami Oi 6-chome, Shinagawa-ku Tokyo  JP 140-8572 ",IEEE+Nmap
74:E4:24,"APISTE CORPORATION",MA-L,,,"1-4-16 Dojimahama, Kita-ku Osaka Japan JP 530-0004 ",IEEE+Nmap
58:D6:D3,"Dairy Cheq Inc",MA-L,,,"60 Baffin Place, Unit 5 Waterloo Ontario CA N2V 1Z7 ",IEEE+Nmap
68:FB:95,"Generalplus Technology Inc.",MA-L,,,"3F, No.8, Dusing Rd., Hsinchu Science Park Hsinchu City  TW 30077 ",IEEE+Nmap
E4:C1:46,"Objetivos y Servicios de Valor A",MA-L,,,"C/ Monte Esquinza, 28, 1D  Madrid ES 28017 ",IEEE+Nmap
D4:BF:2D,"SE Controls Asia Pacific Ltd",MA-L,,,"Unit 301, 3/F, Hung To Centre, Kwun Tong Kowloon HK  ",IEEE+Nmap
C4:5D:D8,"HDMI Forum",MA-L,,,"1140 East Arques Avenue, Suite 900 Sunnyvale CA US 94085 ",IEEE+Nmap
C4:4E:AC,"Shenzhen Shiningworth Technology Co., Ltd.",MA-L,,,"Room 610, Block B, Huameiju Business Center, Shenzhen Guangdong CN 518000 ",IEEE+Nmap
C4:58:C2,"Shenzhen TATFOOK Technology Co., Ltd.",MA-L,,,"3rd Industrial Area of Shajing Industrial Company, Haoxiang Road Shenzhen Guangdong CN 518104 ",IEEE+Nmap
44:18:4F,"Fitview",MA-L,,,"5615 Scotts Valley Drive, Suite 110 Scotts Valley CA US 95066 ",IEEE+Nmap
8C:76:C1,"Goden Tech Limited",MA-L,,,"ROOM 510-511C2 NAN FUNG TOWER.,   HK 999077 ",IEEE+Nmap
DC:2A:14,"Shanghai Longjing Technology Co.",MA-L,,,"689 Chundong Road, Minhang District  Shanghai CN 201108 ",IEEE+Nmap
0C:19:1F,"Inform Electronik",MA-L,,,"Emek mah.Ordu cad.No-49-51-53 Sarigazi-Sancaktepe Istanbul US 34785",IEEE+Nmap
08:0F:FA,"KSP INC.",MA-L,,,"RM 501, 138 Kwangdeokdae-ro Danwon-gu, Ansan-si Gyeonggi-do KR 425906 ",IEEE+Nmap
EC:FC:55,"A. Eberle GmbH & Co. KG",MA-L,,,"Frankenstrasse 160 Nuernberg Bavaria DE 90461",IEEE+Nmap
0C:8C:DC,"Suunto Oy",MA-L,,,"Valimotie 7 Vantaa Uusimaa FI 02710",IEEE+Nmap
20:B5:C6,"Mimosa Networks",MA-L,,,"656 N. Santa Cruz. Ave., Suite B Los Gatos CA US 95030 ",IEEE+Nmap
AC:3C:B4,"Nilan A/S",MA-L,,,"Nilanvej 2 Hedensted Vejle amt DK 8722",IEEE+Nmap
80:07:A2,"Esson Technology Inc.",MA-L,,,"Room A2, 5F Longsheng Commericial Building, Baoan District ShenZhen CN 518000 ",IEEE+Nmap
2C:35:57,"ELLIY Power CO..Ltd",MA-L,,,"1-6-4, Osaki Shinagawa-ku TOKYO US 141-0032 ",IEEE+Nmap
6C:5A:34,"Shenzhen Haitianxiong Electronic Co., Ltd.",MA-L,,,"Rm.407, Block A, University-town Business Park, Taoyuan street, Lishan Road Shenzhen Guangdong CN 518055 ",IEEE+Nmap
48:5A:3F,"WISOL",MA-L,,,"373-7, Gajang-dong Osan-si Gyeonggi-do KR 447-210 ",IEEE+Nmap
70:F1:E5,"Xetawave LLC",MA-L,,,"1668 Valtec Lane Boulder CO US 80301",IEEE+Nmap
C0:AA:68,"OSASI Technos Inc.",MA-L,,,"65-3, Hongu-cho,  Kochi-shi, Kochi-ken   JP 780-0945 ",IEEE+Nmap
B8:29:F7,"Blaster Tech",MA-L,,,"13337 South Street Cerritos CA US 90703",IEEE+Nmap
00:C1:4F,"DDL Co,.ltd.",MA-L,,,"6F AFT BLDG. SAPPORO HOKKAIDO JP 060-0035",IEEE+Nmap
5C:E0:CA,"FeiTian United (Beijing) System Technology Co., Ltd.",MA-L,,,"3 Floor, Tower B, Huizhi Tower Haidian District Beijing CN 100085 ",IEEE+Nmap
9C:98:11,"Guangzhou Sunrise Electronics Development Co., Ltd",MA-L,,,"12th Floor,368 GuangZhou Avenue South Guangzhou Guangdong CN 510300 ",IEEE+Nmap
A0:FE:91,"AVAT Automation GmbH",MA-L,,,"Derendinger Strasse 40 Tuebingen  DE 72072",IEEE+Nmap
58:09:E5,"Kivic Inc.",MA-L,,,"670 Sampyeong-dong, Bundang-gu  Seongnam City KR 463-400 ",IEEE+Nmap
74:EC:F1,"Acumen",MA-L,,,"6F, No.207-3, Sec 3, Beisin Rd Sindian Dist New Taipei City US 23143 ",IEEE+Nmap
68:15:D3,"Zaklady Elektroniki i Mechaniki Precyzyjnej R&G S.A.",MA-L,,,"ul. Traugutta 7 Mielec  PL 39-300",IEEE+Nmap
60:19:29,"VOLTRONIC POWER TECHNOLOGY(SHENZHEN) CORP.",MA-L,,,"1-4F,Building 5,YuSheng Industrial Park,No.467,Section Xixiang,National Highway 107,Xixiang,Bao An District,Shenzhen,China Shenzhen Shenzhen CN 518000 ",IEEE+Nmap
C0:BD:42,"ZPA Smart Energy a.s.",MA-L,,,"Komenskeho 821 Trutnov  CZ 54101",IEEE+Nmap
48:B2:53,"Marketaxess Corporation",MA-L,,,"299 Park Avenue New York NY US 10171",IEEE+Nmap
60:D2:B9,"REALAND BIO CO., LTD.",MA-L,,,"Room 201A, N.set, Jinshan Bd., No.248 Wushan Rd., Tianhe District Guangzhou Guangdong CN 510630 ",IEEE+Nmap
20:67:B1,"Pluto inc.",MA-L,,,"Hongo5-21-1-303 Bunkyo-ku Tokyo JP 113-0033",IEEE+Nmap
08:7D:21,"Altasec technology corporation",MA-L,,,"9F-1, No.75, Sec.1, Xintai 5th Rd., New Taipei City Taiwan TW 221 ",IEEE+Nmap
30:FD:11,"MACROTECH (USA) INC.",MA-L,,,"1799 BAYSHORE HIGHWAY BURLINGAME CA US 94010",IEEE+Nmap
F8:05:1C,"DRS Imaging and Targeting Solutions",MA-L,,,"100 N Babcock St Melbourne FL US 32935",IEEE+Nmap
60:32:F0,"Mplus technology",MA-L,,,"#201  Gayang Dong, Gangsea Gu Seoul  KR 157-793 ",IEEE+Nmap
74:99:75,"IBM Corporation",MA-L,,,"4400 North First Street San Jose CA US 95134",IEEE+Nmap
0C:DC:CC,"Inala Technologies",MA-L,,,"Inala House,  557 15th Road Midrand Gauteng ZA 1685 ",IEEE+Nmap
F0:AC:A4,"HBC-radiomatic",MA-L,,,"Haller Str. 45-53 Crailsheim Baden Wurttemberg DE 74564",IEEE+Nmap
14:DB:85,"S NET MEDIA",MA-L,,,"4F, SEHYUN BLDG, 1581-7 SEOUL  KR 137-875 ",IEEE+Nmap
D4:93:A0,"Fidelix Oy",MA-L,,,"Martinkyläntie 41 VANTAA International FI 01720",IEEE+Nmap
